track_id,name,artist,album,release_date,popularity,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6rO72mwbNgefeJH3XIsAzv,Next,Xavi,NEXT,2024-10-11,60,https://open.spotify.com/track/6rO72mwbNgefeJH3XIsAzv,0.74,0.732,11,-5.589,0,0.0673,0.108,0.0,0.121,0.422,137.934,audio_features,spotify:track:6rO72mwbNgefeJH3XIsAzv,https://api.spotify.com/v1/tracks/6rO72mwbNgefeJH3XIsAzv,https://api.spotify.com/v1/audio-analysis/6rO72mwbNgefeJH3XIsAzv,153443,3
5tUMqIkpIKCZsMAiXEEEsI,Call Center,Smash Hits,Call Center,2023-03-31,66,https://open.spotify.com/track/5tUMqIkpIKCZsMAiXEEEsI,0.418,0.534,9,-8.556,0,0.0489,0.582,0.0,0.0866,0.301,115.702,audio_features,spotify:track:5tUMqIkpIKCZsMAiXEEEsI,https://api.spotify.com/v1/tracks/5tUMqIkpIKCZsMAiXEEEsI,https://api.spotify.com/v1/audio-analysis/5tUMqIkpIKCZsMAiXEEEsI,186887,4
0u8aj0c4IxeVSLTUuuq9V5,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),Nego do Borel,Você Partiu Meu Coração (feat. Anitta & Wesley Safadão),2017-01-10,53,https://open.spotify.com/track/0u8aj0c4IxeVSLTUuuq9V5,0.854,0.682,9,-5.818,0,0.069,0.374,0.0,0.0697,0.887,98.023,audio_features,spotify:track:0u8aj0c4IxeVSLTUuuq9V5,https://api.spotify.com/v1/tracks/0u8aj0c4IxeVSLTUuuq9V5,https://api.spotify.com/v1/audio-analysis/0u8aj0c4IxeVSLTUuuq9V5,179000,4
2whkv39r2R1lh0RxEipZ11,Déjame tú,Charlie USG,Contacto Cero,2024-04-19,45,https://open.spotify.com/track/2whkv39r2R1lh0RxEipZ11,0.524,0.832,1,-4.26,1,0.0427,0.0394,0.0,0.0605,0.547,75.06,audio_features,spotify:track:2whkv39r2R1lh0RxEipZ11,https://api.spotify.com/v1/tracks/2whkv39r2R1lh0RxEipZ11,https://api.spotify.com/v1/audio-analysis/2whkv39r2R1lh0RxEipZ11,180987,4
6sPh1MyFp16cwcFWFHqVug,"Hoy Me Desacato (feat. Nacho, Noriel & El Alfa) - Dale Pipo Remix",Bulova,Cambiando el Juego,2020-12-11,35,https://open.spotify.com/track/6sPh1MyFp16cwcFWFHqVug,0.918,0.885,1,-3.844,1,0.0667,0.115,0.0,0.226,0.819,119.957,audio_features,spotify:track:6sPh1MyFp16cwcFWFHqVug,https://api.spotify.com/v1/tracks/6sPh1MyFp16cwcFWFHqVug,https://api.spotify.com/v1/audio-analysis/6sPh1MyFp16cwcFWFHqVug,310047,4
4Ldb43mYGSqtnDe1VD41X1,Real Guerrero - Remix,"Secreto ""El Famoso Biberon""",Real Guerrero (Remix),2019-06-28,48,https://open.spotify.com/track/4Ldb43mYGSqtnDe1VD41X1,0.607,0.729,6,-4.269,1,0.271,0.393,0.0,0.18,0.343,169.726,audio_features,spotify:track:4Ldb43mYGSqtnDe1VD41X1,https://api.spotify.com/v1/tracks/4Ldb43mYGSqtnDe1VD41X1,https://api.spotify.com/v1/audio-analysis/4Ldb43mYGSqtnDe1VD41X1,297369,4
7C9oofAfVRvMVkke6e8S2O,Señorita,Amine,Señorita,2015-05-01,54,https://open.spotify.com/track/7C9oofAfVRvMVkke6e8S2O,0.745,0.708,9,-5.145,0,0.0294,0.233,0.0,0.0618,0.584,115.025,audio_features,spotify:track:7C9oofAfVRvMVkke6e8S2O,https://api.spotify.com/v1/tracks/7C9oofAfVRvMVkke6e8S2O,https://api.spotify.com/v1/audio-analysis/7C9oofAfVRvMVkke6e8S2O,170710,4
4wuz9ixusDfosZP7E24cEF,Si no Estás - Sped Up,Formula Speed,Si no Estás (Sped Up),2023-10-30,48,https://open.spotify.com/track/4wuz9ixusDfosZP7E24cEF,0.565,0.562,10,-7.658,1,0.0295,0.828,0.000324,0.201,0.647,129.309,audio_features,spotify:track:4wuz9ixusDfosZP7E24cEF,https://api.spotify.com/v1/tracks/4wuz9ixusDfosZP7E24cEF,https://api.spotify.com/v1/audio-analysis/4wuz9ixusDfosZP7E24cEF,139831,4
0G8bu5RzbQv3krzlWIBQah,lo que no sabes,Ana Sofi W.,lo que no sabes,2024-02-09,55,https://open.spotify.com/track/0G8bu5RzbQv3krzlWIBQah,0.595,0.597,5,-7.583,1,0.0633,0.0851,0.0,0.301,0.274,143.939,audio_features,spotify:track:0G8bu5RzbQv3krzlWIBQah,https://api.spotify.com/v1/tracks/0G8bu5RzbQv3krzlWIBQah,https://api.spotify.com/v1/audio-analysis/0G8bu5RzbQv3krzlWIBQah,152721,4
2EJtZFG7Wge8koHgxGvJPk,Cuéntame,Majo Aguilar,Cuéntame,2024-08-09,54,https://open.spotify.com/track/2EJtZFG7Wge8koHgxGvJPk,0.643,0.683,5,-6.251,0,0.0309,0.0285,0.0,0.376,0.874,145.034,audio_features,spotify:track:2EJtZFG7Wge8koHgxGvJPk,https://api.spotify.com/v1/tracks/2EJtZFG7Wge8koHgxGvJPk,https://api.spotify.com/v1/audio-analysis/2EJtZFG7Wge8koHgxGvJPk,153253,4
